#gd-step, abs-grad_likelihood, theta-error
599 0.09675 0.3267425
600 0.09925 0.32664325
601 0.11675 0.3265265
602 0.10925 0.32641725
603 0.13675 0.3262805
604 0.10175 0.32617875
605 0.08425 0.3260945
606 0.11925 0.32597525
607 0.14175 0.3258335
608 0.13175 0.32570175
609 0.11175 0.32559
610 0.06925 0.32552075
611 0.11175 0.325409
612 0.09675 0.32531225
613 0.07425 0.325238
614 0.12925 0.32510875
615 0.11425 0.3249945
616 0.12175 0.32487275
617 0.12925 0.3247435
618 0.12175 0.32462175
619 0.11425 0.3245075
620 0.11175 0.32439575
621 0.09675 0.324299
622 0.11675 0.32418225
623 0.11175 0.3240705
624 0.15175 0.32391875
625 0.12675 0.323792
626 0.09175 0.32370025
627 0.13425 0.323566
628 0.08425 0.32348175
629 0.13925 0.3233425
630 0.11675 0.32322575
631 0.11675 0.323109
632 0.14675 0.32296225
633 0.07175 0.3228905
634 0.09925 0.32279125
635 0.11925 0.322672
636 0.10175 0.32257025
637 0.08925 0.322481
638 0.12925 0.32235175
639 0.10675 0.322245
640 0.10175 0.32214325
641 0.14175 0.3220015
642 0.10175 0.32189975
643 0.11175 0.321788
644 0.10925 0.32167875
645 0.14175 0.321537
646 0.12675 0.32141025
647 0.11925 0.321291
648 0.06675 0.32122425
649 0.10425 0.32112
650 0.14925 0.32097075
651 0.08675 0.320884
652 0.12675 0.32075725
653 0.09675 0.3206605
654 0.10675 0.32055375
655 0.12675 0.320427
656 0.10425 0.32032275
657 0.09675 0.320226
658 0.11425 0.32011175
659 0.12425 0.3199875
660 0.11425 0.31987325
661 0.12675 0.3197465
662 0.09925 0.31964725
663 0.08675 0.3195605
664 0.12675 0.31943375
665 0.11675 0.319317
666 0.13925 0.31917775
667 0.13675 0.319041
668 0.09675 0.31894425
669 0.10425 0.31884
670 0.12925 0.31871075
671 0.12175 0.318589
672 0.13925 0.31844975
673 0.12675 0.318323
674 0.10925 0.31821375
675 0.09425 0.3181195
676 0.09425 0.31802525
677 0.09175 0.3179335
678 0.12425 0.31780925
679 0.12675 0.3176825
680 0.10925 0.31757325
681 0.11425 0.317459
682 0.11925 0.31733975
683 0.09925 0.3172405
684 0.13675 0.31710375
685 0.11175 0.316992
686 0.09925 0.31689275
687 0.12175 0.316771
688 0.11675 0.31665425
689 0.09675 0.3165575
690 0.11425 0.31644325
691 0.08675 0.3163565
692 0.11675 0.31623975
693 0.13175 0.316108
694 0.12425 0.31598375
695 0.13175 0.315852
696 0.07675 0.31577525
697 0.11175 0.3156635
698 0.14425 0.31551925
699 0.10925 0.31541
700 0.11425 0.31529575
701 0.09675 0.315199
702 0.09925 0.31509975
703 0.11425 0.3149855
704 0.08425 0.31490125
705 0.10925 0.314792
706 0.11675 0.31467525
707 0.10675 0.3145685
708 0.12175 0.31444675
709 0.05425 0.3143925
710 0.13175 0.31426075
711 0.10175 0.314159
712 0.09425 0.31406475
713 0.12425 0.3139405
714 0.14175 0.31379875
715 0.12675 0.313672
716 0.12925 0.31354275
717 0.09925 0.3134435
718 0.13175 0.31331175
719 0.12675 0.313185
720 0.11175 0.31307325
721 0.11675 0.3129565
722 0.13175 0.31282475
723 0.12675 0.312698
724 0.11925 0.31257875
725 0.11925 0.3124595
726 0.09925 0.31236025
727 0.12925 0.312231
728 0.12925 0.31210175
729 0.11175 0.31199
730 0.09925 0.31189075
731 0.11925 0.3117715
732 0.10925 0.31166225
733 0.13425 0.311528
734 0.08925 0.31143875
735 0.09675 0.311342
736 0.08425 0.31125775
737 0.08925 0.3111685
738 0.13175 0.31103675
739 0.07925 0.3109575
740 0.12925 0.31082825
741 0.11675 0.3107115
742 0.12425 0.31058725
743 0.09925 0.310488
744 0.12425 0.31036375
745 0.07925 0.3102845
746 0.10925 0.31017525
747 0.11175 0.3100635
748 0.09175 0.30997175
749 0.11925 0.3098525
750 0.11675 0.30973575
751 0.10675 0.309629
752 0.09675 0.30953225
753 0.10675 0.3094255
754 0.11425 0.30931125
755 0.10175 0.3092095
756 0.11175 0.30909775
757 0.12425 0.3089735
758 0.11175 0.30886175
759 0.10925 0.3087525
760 0.09175 0.30866075
761 0.09425 0.3085665
762 0.08175 0.30848475
763 0.10675 0.308378
764 0.10675 0.30827125
765 0.13425 0.308137
766 0.10675 0.30803025
767 0.13425 0.307896
768 0.10175 0.30779425
769 0.10925 0.307685
770 0.10175 0.30758325
771 0.13425 0.307449
772 0.07175 0.30737725
773 0.09175 0.3072855
774 0.11175 0.30717375
775 0.11425 0.3070595
776 0.12175 0.30693775
777 0.10175 0.306836
778 0.11675 0.30671925
779 0.09175 0.3066275
780 0.12925 0.30649825
781 0.11675 0.3063815
782 0.09675 0.30628475
783 0.12175 0.306163
784 0.10925 0.30605375
785 0.10425 0.3059495
786 0.09425 0.30585525
787 0.12175 0.3057335
788 0.09925 0.30563425
789 0.11175 0.3055225
790 0.13175 0.30539075
791 0.09175 0.305299
792 0.10675 0.30519225
793 0.09675 0.3050955
794 0.10425 0.30499125
795 0.11925 0.304872
796 0.09675 0.30477525
797 0.09925 0.304676
798 0.07425 0.30460175
799 0.11175 0.30449
800 0.11675 0.30437325
801 0.11675 0.3042565
802 0.10175 0.30415475
803 0.10925 0.3040455
804 0.13425 0.30391125
805 0.11175 0.3037995
806 0.11675 0.30368275
807 0.10425 0.3035785
808 0.12425 0.30345425
809 0.10175 0.3033525
810 0.11425 0.30323825
811 0.11175 0.3031265
812 0.10425 0.30302225
813 0.09425 0.302928
814 0.09425 0.30283375
815 0.09175 0.302742
816 0.08425 0.30265775
817 0.10675 0.302551
818 0.13425 0.30241675
819 0.11925 0.3022975
820 0.13175 0.30216575
821 0.06925 0.3020965
822 0.09925 0.30199725
823 0.10925 0.301888
824 0.10675 0.30178125
825 0.10675 0.3016745
826 0.14425 0.30153025
827 0.09675 0.3014335
828 0.07925 0.30135425
829 0.11425 0.30124
830 0.10425 0.30113575
831 0.11175 0.301024
832 0.10425 0.30091975
833 0.11175 0.300808
834 0.10425 0.30070375
835 0.09925 0.3006045
836 0.09175 0.30051275
837 0.10425 0.3004085
838 0.13675 0.30027175
839 0.08925 0.3001825
840 0.13425 0.30004825
841 0.05175 0.2999965
842 0.10925 0.29988725
843 0.09425 0.299793
844 0.10675 0.29968625
845 0.10175 0.2995845
846 0.10675 0.29947775
847 0.09425 0.2993835
848 0.10425 0.29927925
849 0.08425 0.299195
850 0.11925 0.29907575
851 0.06175 0.299014
852 0.11425 0.29889975
853 0.13675 0.298763
854 0.09175 0.29867125
855 0.08925 0.298582
856 0.11175 0.29847025
857 0.10175 0.2983685
858 0.12925 0.29823925
859 0.07925 0.29816
860 0.11675 0.29804325
861 0.07925 0.297964
862 0.08675 0.29787725
863 0.07675 0.2978005
864 0.13425 0.29766625
865 0.10925 0.297557
866 0.09925 0.29745775
867 0.14175 0.297316
868 0.09175 0.29722425
869 0.11175 0.2971125
870 0.08175 0.29703075
871 0.13175 0.296899
872 0.11675 0.29678225
873 0.12925 0.296653
874 0.09175 0.29656125
875 0.11425 0.296447
876 0.10675 0.29634025
877 0.08425 0.296256
878 0.08175 0.29617425
879 0.09925 0.296075
880 0.10675 0.29596825
881 0.10425 0.295864
882 0.11925 0.29574475
883 0.10675 0.295638
884 0.13675 0.29550125
885 0.10425 0.295397
886 0.08925 0.29530775
887 0.09425 0.2952135
888 0.07925 0.29513425
889 0.07175 0.2950625
890 0.13425 0.29492825
891 0.09925 0.294829
892 0.10175 0.29472725
893 0.11175 0.2946155
894 0.08675 0.29452875
895 0.13675 0.294392
896 0.12925 0.29426275
897 0.13925 0.2941235
898 0.09675 0.29402675
899 0.11675 0.29391
900 0.10925 0.29380075
901 0.12925 0.2936715
902 0.10175 0.29356975
903 0.11675 0.293453
904 0.11925 0.29333375
905 0.12175 0.293212
906 0.08925 0.29312275
907 0.11425 0.2930085
908 0.10925 0.29289925
909 0.09175 0.2928075
910 0.11425 0.29269325
911 0.13675 0.2925565
912 0.07425 0.29248225
913 0.12175 0.2923605
914 0.12175 0.29223875
915 0.08425 0.2921545
916 0.09675 0.29205775
917 0.09425 0.2919635
918 0.11425 0.29184925
919 0.12175 0.2917275
920 0.09175 0.29163575
921 0.05925 0.2915765
922 0.08675 0.29148975
923 0.07675 0.291413
924 0.06175 0.29135125
925 0.11175 0.2912395
926 0.09675 0.29114275
927 0.11925 0.2910235
928 0.09425 0.29092925
929 0.10675 0.2908225
930 0.11175 0.29071075
931 0.08425 0.2906265
932 0.07675 0.29054975
933 0.09425 0.2904555
934 0.10425 0.29035125
935 0.08175 0.2902695
936 0.08675 0.29018275
937 0.11925 0.2900635
938 0.09675 0.28996675
939 0.12175 0.289845
940 0.11425 0.28973075
941 0.10675 0.289624
942 0.08425 0.28953975
943 0.10175 0.289438
944 0.14175 0.28929625
945 0.09675 0.2891995
946 0.10175 0.28909775
947 0.13675 0.288961
948 0.05925 0.28890175
949 0.11425 0.2887875
950 0.12425 0.28866325
951 0.11675 0.2885465
952 0.10425 0.28844225
953 0.09175 0.2883505
954 0.10675 0.28824375
955 0.11175 0.288132
956 0.09175 0.28804025
957 0.11925 0.287921
958 0.10675 0.28781425
959 0.07925 0.287735
960 0.10425 0.28763075
961 0.08675 0.287544
962 0.10675 0.28743725
963 0.11175 0.2873255
964 0.12925 0.28719625
965 0.05175 0.2871445
966 0.12925 0.28701525
967 0.10425 0.286911
968 0.09675 0.28681425
969 0.07925 0.286735
970 0.10675 0.28662825
971 0.12675 0.2865015
972 0.09175 0.28640975
973 0.12675 0.286283
974 0.11925 0.28616375
975 0.10175 0.286062
976 0.09675 0.28596525
977 0.09925 0.285866
978 0.13175 0.28573425
979 0.05675 0.2856775
980 0.09925 0.28557825
981 0.10425 0.285474
982 0.10675 0.28536725
983 0.11675 0.2852505
984 0.10175 0.28514875
985 0.08425 0.2850645
986 0.07675 0.28498775
987 0.12925 0.2848585
988 0.12175 0.28473675
989 0.09675 0.28464
990 0.08675 0.28455325
991 0.10425 0.284449
992 0.12175 0.28432725
993 0.09925 0.284228
994 0.14175 0.28408625
995 0.09925 0.283987
996 0.09425 0.28389275
997 0.11175 0.283781
998 0.06425 0.28371675
999 0.11425 0.2836025
1000 0.11925 0.28348325
1001 0.12425 0.283359
1002 0.07675 0.28328225
1003 0.06925 0.283213
1004 0.11675 0.28309625
1005 0.09425 0.283002
1006 0.08925 0.28291275
1007 0.11925 0.2827935
1008 0.13675 0.28265675
1009 0.09425 0.2825625
1010 0.09425 0.28246825
1011 0.09675 0.2823715
1012 0.10925 0.28226225
1013 0.11175 0.2821505
1014 0.12175 0.28202875
1015 0.10675 0.281922
1016 0.10925 0.28181275
1017 0.10675 0.281706
1018 0.07925 0.28162675
1019 0.06925 0.2815575
1020 0.12675 0.28143075
1021 0.10925 0.2813215
1022 0.09425 0.28122725
1023 0.09425 0.281133
1024 0.09925 0.28103375
1025 0.11675 0.280917
1026 0.08675 0.28083025
1027 0.12175 0.2807085
1028 0.11675 0.28059175
1029 0.09925 0.2804925
1030 0.08175 0.28041075
1031 0.06925 0.2803415
1032 0.08425 0.28025725
1033 0.10925 0.280148
1034 0.11925 0.28002875
1035 0.12675 0.279902
1036 0.09675 0.27980525
1037 0.13175 0.2796735
1038 0.09425 0.27957925
1039 0.09675 0.2794825
1040 0.09925 0.27938325
1041 0.12175 0.2792615
1042 0.10175 0.27915975
1043 0.09425 0.2790655
1044 0.12425 0.27894125
1045 0.08925 0.278852
1046 0.12425 0.27872775
1047 0.10425 0.2786235
1048 0.08925 0.27853425
1049 0.08925 0.278445
1050 0.13675 0.27830825
1051 0.10425 0.278204
1052 0.10175 0.27810225
1053 0.07175 0.2780305
1054 0.10925 0.27792125
1055 0.10675 0.2778145
1056 0.10175 0.27771275
1057 0.12175 0.277591
1058 0.09925 0.27749175
1059 0.09175 0.2774
1060 0.09925 0.27730075
1061 0.13925 0.2771615
1062 0.08925 0.27707225
1063 0.10425 0.276968
1064 0.10425 0.27686375
1065 0.10675 0.276757
